gene	NA	NA	Protein-RPE-1-21-3	NA
ATG5	NA	NA	0.1223656	NA
PPIL1	NA	NA	-0.04124305	NA
NOL7	NA	NA	-0.3025292	NA
DNPH1	NA	NA	0.3473804	NA
RAB23	NA	NA	0.3566448	NA
PREP	NA	NA	0.05184768	NA
ME1	NA	NA	1.212367	NA
RPS10	NA	NA	-0.2761988	NA
MYO6	NA	NA	0.2590984	NA
HBS1L	NA	NA	0.01240255	NA
TPBG	NA	NA	NaN	NA
NUDT3	NA	NA	-0.1216787	NA
UTRN	NA	NA	-0.04012096	NA
NT5E	NA	NA	0.4513267	NA
TDP2	NA	NA	NaN	NA
SRSF3	NA	NA	-0.5353563	NA
PEX3	NA	NA	0.08565019	NA
SF3B5	NA	NA	-0.5778276	NA
TJAP1	NA	NA	-0.2867629	NA
BCKDHB	NA	NA	0.1986261	NA
FUCA2	NA	NA	0.2809831	NA
FGFR1OP	NA	NA	-0.4121854	NA
SNRPC	NA	NA	-0.3945141	NA
TUBB2A	NA	NA	0.02217069	NA
TUBB2B	NA	NA	0.02217069	NA
PRPF4B	NA	NA	-0.5384387	NA
RIPK1	NA	NA	-0.230203	NA
RPS12	NA	NA	-0.3483457	NA
DSP	NA	NA	-1.310456	NA
WTAP	NA	NA	-0.7421787	NA
LRRC16A	NA	NA	0.1095922	NA
CDKAL1	NA	NA	-0.02531225	NA
PTPRK	NA	NA	0.2592536	NA
EPB41L2	NA	NA	-0.7142234	NA
VTA1	NA	NA	-0.2010065	NA
SYNCRIP	NA	NA	-0.4344547	NA
TPMT	NA	NA	0.6782105	NA
DYNLT1	NA	NA	0.004537155	NA
ALDH5A1	NA	NA	NaN	NA
TBCC	NA	NA	-0.08297508	NA
DEK	NA	NA	-0.6112669	NA
ACOT13	NA	NA	0.4665761	NA
SOD2	NA	NA	-0.03660875	NA
TBP	NA	NA	NaN	NA
NDUFAF4	NA	NA	-0.09700833	NA
MLLT4	NA	NA	-0.02517067	NA
MUT	NA	NA	-0.1810389	NA
PSMB1	NA	NA	0.01829341	NA
CDC40	NA	NA	-0.6645739	NA
COX7A2	NA	NA	-3.927135	NA
STK38	NA	NA	0.1200591	NA
CAP2	NA	NA	0.3951696	NA
PRIM2	NA	NA	-1.135469	NA
UQCC2	NA	NA	0.1325146	NA
TBPL1	NA	NA	-0.5898523	NA
RWDD1	NA	NA	-0.1386835	NA
MRPS10	NA	NA	-0.5366498	NA
WRNIP1	NA	NA	NaN	NA
RRP36	NA	NA	-0.3987881	NA
CD109	NA	NA	-2.214809	NA
LTV1	NA	NA	-0.1773438	NA
MEA1	NA	NA	-0.2357271	NA
MICAL1	NA	NA	0.2880647	NA
CMTR1	NA	NA	-0.6905511	NA
FYN	NA	NA	0.03159218	NA
MDN1	NA	NA	-0.7503492	NA
LEMD2	NA	NA	0.03312654	NA
ZNF318	NA	NA	-0.09734115	NA
PHF3	NA	NA	-0.625364	NA
TXNDC5	NA	NA	-0.2314324	NA
MED20	NA	NA	-0.6382077	NA
HMGA1	NA	NA	NaN	NA
NT5DC1	NA	NA	-0.1385524	NA
HMGA1	NA	NA	0.3698928	NA
MAP3K4	NA	NA	-0.182843	NA
GOPC	NA	NA	0.3961565	NA
GCLC	NA	NA	0.9056017	NA
UBR2	NA	NA	-0.395721	NA
HIST1H1C	NA	NA	-1.636775	NA
HIST1H1D	NA	NA	NaN	NA
HIST1H1E	NA	NA	-1.372562	NA
DST	NA	NA	NaN	NA
MAP3K7	NA	NA	0.3187756	NA
FKBP5	NA	NA	-0.6249899	NA
SEC63	NA	NA	-0.1218111	NA
NQO2	NA	NA	0.3525657	NA
MARCKS	NA	NA	-0.3994446	NA
GLO1	NA	NA	-0.1036655	NA
AKAP12	NA	NA	0.1329259	NA
SYNE1	NA	NA	0.01200981	NA
HDAC2	NA	NA	-0.5591492	NA
IGF2R	NA	NA	-0.2542312	NA
STX7	NA	NA	0.4807197	NA
TCP1	NA	NA	-0.1935825	NA
FBXO30	NA	NA	-0.3098738	NA
ACAT2	NA	NA	0.259271	NA
TFB1M	NA	NA	0.3744302	NA
ITPR3	NA	NA	0.8070231	NA
MTHFD1L	NA	NA	-0.05921685	NA
PHIP	NA	NA	-0.6269299	NA
NUP153	NA	NA	-0.3252713	NA
ASF1A	NA	NA	-0.3474389	NA
ORC3	NA	NA	0.8662786	NA
ARHGAP18	NA	NA	-0.2479275	NA
PTK7	NA	NA	-0.3175355	NA
PEX6	NA	NA	0.05620605	NA
SSR1	NA	NA	-0.06336476	NA
ECHDC1	NA	NA	0.1265017	NA
COL12A1	NA	NA	-0.3693827	NA
GMPR	NA	NA	0.1303618	NA
L3MBTL3	NA	NA	-0.1910572	NA
ELOVL5	NA	NA	-0.6552973	NA
DTNBP1	NA	NA	NaN	NA
BYSL	NA	NA	-0.3799536	NA
RPP40	NA	NA	-0.3066924	NA
FAM120B	NA	NA	-0.07217448	NA
TPD52L1	NA	NA	0.5918316	NA
SLC35B2	NA	NA	-0.06281245	NA
MTCH1	NA	NA	0.4801176	NA
AARS2	NA	NA	-0.04208399	NA
ANKS1A	NA	NA	NaN	NA
RPF2	NA	NA	-0.1932041	NA
EEF1A1	NA	NA	-0.230326	NA
KLC4	NA	NA	0.03162162	NA
PCMT1	NA	NA	0.4133649	NA
MRPL2	NA	NA	0.1198745	NA
SRPK1	NA	NA	-0.3218126	NA
RPL10A	NA	NA	-0.3108054	NA
CD2AP	NA	NA	-0.04544291	NA
MED23	NA	NA	-0.4932375	NA
BCLAF1	NA	NA	-0.7998334	NA
SERINC1	NA	NA	0.1846941	NA
HSP90AB1	NA	NA	-0.4336005	NA
MRPL14	NA	NA	-0.2319238	NA
ECI2	NA	NA	0.03873232	NA
LRRC1	NA	NA	0.08865352	NA
ASCC3	NA	NA	-0.1251221	NA
RPL7L1	NA	NA	-0.2997136	NA
RANBP9	NA	NA	0.2884664	NA
CDC5L	NA	NA	-0.4980466	NA
FBXO9	NA	NA	0.0700423	NA
KIAA1244	NA	NA	0.1542872	NA
PAK1IP1	NA	NA	-0.7009723	NA
RARS2	NA	NA	0.2006806	NA
CNPY3	NA	NA	-0.2278643	NA
XPO5	NA	NA	-0.500904	NA
DST	NA	NA	0.3344254	NA
PPIL4	NA	NA	-0.3322783	NA
PGM3	NA	NA	0.1740516	NA
HEBP2	NA	NA	0.1908655	NA
KDM1B	NA	NA	-2.181961	NA
NUP43	NA	NA	-0.2771516	NA
SERPINB6	NA	NA	0.3542246	NA
REPS1	NA	NA	0.01158796	NA
EXOC2	NA	NA	0.1584938	NA
SNX3	NA	NA	0.29048	NA
SCAF8	NA	NA	NaN	NA
EZR	NA	NA	0.2900918	NA
UFL1	NA	NA	-0.3144065	NA
ABRACL	NA	NA	0.3826074	NA
HDDC2	NA	NA	0.3825511	NA
MCM3	NA	NA	-1.278639	NA
TSPAN13	NA	NA	0.7031961	NA
TBL2	NA	NA	-0.0661237	NA
POLR2J	NA	NA	NaN	NA
POLR2J3	NA	NA	NaN	NA
POLR2J2	NA	NA	NaN	NA
GNB2	NA	NA	0.4049165	NA
ATP6V1F	NA	NA	0.5749704	NA
HUS1	NA	NA	-0.4216946	NA
RABGEF1	NA	NA	0.08552741	NA
ABCF2	NA	NA	-0.4319973	NA
ARPC1B	NA	NA	0.1126619	NA
ARPC1A	NA	NA	0.1126619	NA
PRKAG2	NA	NA	0.7251412	NA
TWISTNB	NA	NA	-0.415975	NA
FAM115A	NA	NA	0.213939	NA
SEC61G	NA	NA	-0.2897164	NA
C7orf55-LUC7L2	NA	NA	-0.4719678	NA
FIS1	NA	NA	0.02793973	NA
SLC25A13	NA	NA	0.3245272	NA
SERPINE1	NA	NA	0.4358462	NA
CHCHD2	NA	NA	1.567682	NA
YKT6	NA	NA	0.1240156	NA
CPSF4	NA	NA	-0.475915	NA
CAV1	NA	NA	0.2326503	NA
PARP12	NA	NA	NaN	NA
PDIA4	NA	NA	-0.1323794	NA
RHBDD2	NA	NA	0.1239982	NA
TRIM4	NA	NA	-0.3747335	NA
WASL	NA	NA	-0.315798	NA
NDUFA4	NA	NA	-3.064745	NA
AIMP2	NA	NA	0.04079371	NA
BUD31	NA	NA	-0.625364	NA
PDAP1	NA	NA	-0.2899524	NA
RBM33	NA	NA	0.1672315	NA
WBSCR22	NA	NA	-0.08976938	NA
HIBADH	NA	NA	0.4668553	NA
TRA2A	NA	NA	-0.2783417	NA
LAMB1	NA	NA	-0.2499914	NA
EIF4H	NA	NA	-0.1047392	NA
CUL1	NA	NA	-0.3132458	NA
CALD1	NA	NA	0.08020987	NA
PON2	NA	NA	0.5247492	NA
ORC5	NA	NA	-1.076149	NA
CHCHD3	NA	NA	-0.2058929	NA
DLD	NA	NA	-0.2020102	NA
GBAS	NA	NA	0.5384619	NA
RHEB	NA	NA	-0.4465739	NA
RPA3	NA	NA	-0.5175277	NA
RFC2	NA	NA	-0.7138718	NA
EGFR	NA	NA	-0.729879	NA
PSPH	NA	NA	0.723563	NA
AKAP9	NA	NA	-0.1727436	NA
AGK	NA	NA	0.0377842	NA
CEP41	NA	NA	-0.2178989	NA
CLIP2	NA	NA	-0.1754288	NA
CAV2	NA	NA	0.7502999	NA
UBE2H	NA	NA	-0.03337011	NA
MEPCE	NA	NA	-0.5781175	NA
PSMC2	NA	NA	-0.1102295	NA
AVL9	NA	NA	NaN	NA
BZW2	NA	NA	-0.3587339	NA
CDK6	NA	NA	2.161718	NA
CDK5	NA	NA	0.3283443	NA
OSBPL3	NA	NA	0.5248529	NA
WIPI2	NA	NA	0.4737509	NA
TES	NA	NA	-0.03857663	NA
DNAJB6	NA	NA	-0.06018578	NA
HSPB1	NA	NA	0.44971	NA
POLD2	NA	NA	-0.5117476	NA
CAPZA2	NA	NA	0.222616	NA
POP7	NA	NA	-0.169412	NA
SRI	NA	NA	0.3074122	NA
CCT6A	NA	NA	-0.1795111	NA
GUSB	NA	NA	0.02284459	NA
VPS41	NA	NA	0.222616	NA
TAF6	NA	NA	-0.5176284	NA
MET	NA	NA	-0.1828194	NA
DFNA5	NA	NA	0.4032365	NA
SSBP1	NA	NA	0.04705516	NA
PLOD3	NA	NA	-0.06763871	NA
PSMG3	NA	NA	0.3613296	NA
GGCT	NA	NA	-0.1307991	NA
C7orf26	NA	NA	-0.1691415	NA
LANCL2	NA	NA	-0.09599186	NA
SEPT7	NA	NA	0.06065306	NA
PUS7	NA	NA	-0.5925407	NA
PURB	NA	NA	-0.009633886	NA
CALU	NA	NA	0.3174805	NA
GTF2I	NA	NA	-0.6042612	NA
EXOC4	NA	NA	0.04721912	NA
LRWD1	NA	NA	-0.8120463	NA
BAZ1B	NA	NA	-1.106482	NA
OGDH	NA	NA	0.2466522	NA
NT5C3A	NA	NA	-0.3708338	NA
NSUN5	NA	NA	-0.7423475	NA
DBNL	NA	NA	0.1114146	NA
SND1	NA	NA	-0.1506897	NA
AP1S1	NA	NA	0.07573293	NA
NUB1	NA	NA	-0.1553607	NA
AGAP3	NA	NA	-0.09213085	NA
FSCN1	NA	NA	-0.3170725	NA
COPS6	NA	NA	0.03091394	NA
VKORC1L1	NA	NA	-0.3199646	NA
ARMC10	NA	NA	0.07014167	NA
GTPBP10	NA	NA	-0.3106313	NA
ABHD11	NA	NA	0.4527872	NA
FLNC	NA	NA	0.4956745	NA
MTPN	NA	NA	0.2218756	NA
EPHB4	NA	NA	-0.07052666	NA
NUPL2	NA	NA	NaN	NA
ARF5	NA	NA	-0.2823805	NA
CASP2	NA	NA	NaN	NA
ANKMY2	NA	NA	NaN	NA
RALA	NA	NA	0.3724118	NA
PSMA2	NA	NA	-0.03181865	NA
GSTK1	NA	NA	0.8874465	NA
NAA38	NA	NA	-0.3829439	NA
SRRT	NA	NA	-0.4421208	NA
ASL	NA	NA	0.719115	NA
ATP5J2	NA	NA	0.01965299	NA
LSM5	NA	NA	-0.2142491	NA
YWHAG	NA	NA	0.1363311	NA
BCAP29	NA	NA	0.07958472	NA
EGFR	NA	NA	0.1036584	NA
NUDCD3	NA	NA	-0.3132458	NA
HEATR2	NA	NA	-0.3184614	NA
PTPN12	NA	NA	0.1568736	NA
SCRN1	NA	NA	0.3958906	NA
MDH2	NA	NA	0.4351633	NA
BLVRA	NA	NA	0.5823392	NA
CYP51A1	NA	NA	-0.2778657	NA
TMED4	NA	NA	0.1511056	NA
MKLN1	NA	NA	0.1092187	NA
CBX3	NA	NA	-0.6467157	NA
PODXL	NA	NA	1.266108	NA
MCM7	NA	NA	-1.328951	NA
ZC3HC1	NA	NA	-0.2301762	NA
TRIP6	NA	NA	-0.01335502	NA
DDX56	NA	NA	-0.3283769	NA
MPP6	NA	NA	0.0942641	NA
RBM28	NA	NA	0.1063851	NA
WBSCR16	NA	NA	-0.008630399	NA
TBRG4	NA	NA	-0.2815499	NA
ARPC1A	NA	NA	0.2074279	NA
SRPK2	NA	NA	-0.0116388	NA
FAM3C	NA	NA	-0.08338355	NA
SYPL1	NA	NA	0.1761692	NA
GNAI1	NA	NA	0.5057585	NA
IMPDH1	NA	NA	-0.3201959	NA
COG5	NA	NA	0.2512125	NA
SLC4A2	NA	NA	0.4124046	NA
FBXL18	NA	NA	0.2119992	NA
RSBN1L	NA	NA	-0.6725611	NA
TNPO3	NA	NA	-0.3444877	NA
TMEM106B	NA	NA	0.3544459	NA
NCAPG2	NA	NA	-1.506238	NA
EIF3B	NA	NA	-0.1313261	NA
HNRNPA2B1	NA	NA	-0.5057893	NA
ESYT2	NA	NA	0.4575736	NA
ZC3HAV1	NA	NA	-0.7476022	NA
ZC3HAV1	NA	NA	NaN	NA
NDUFA5	NA	NA	-1.107621	NA
AKR1B1	NA	NA	1.713687	NA
GET4	NA	NA	-0.006046579	NA
PPIA	NA	NA	-0.04586228	NA
SBDS	NA	NA	0.1749472	NA
CYCS	NA	NA	0.5274915	NA
POR	NA	NA	0.07853328	NA
CCZ1	NA	NA	0.1399511	NA
CCZ1B	NA	NA	0.1399511	NA
TRIM56	NA	NA	0.1965085	NA
CCDC132	NA	NA	0.3477476	NA
PRKAR2B	NA	NA	-6.697107	NA
ASNS	NA	NA	0.3872983	NA
UBE3C	NA	NA	0.1077566	NA
MRPS33	NA	NA	-2.147333	NA
ANLN	NA	NA	-0.6793337	NA
IGF2BP3	NA	NA	0.1860978	NA
BRAT1	NA	NA	-0.300768	NA
TNS3	NA	NA	0.1209216	NA
MRPS17	NA	NA	-0.2783417	NA
CAV1	NA	NA	0.1574797	NA
GARS	NA	NA	NaN	NA
NUP205	NA	NA	-0.4188915	NA
CALU	NA	NA	-0.06763871	NA
URGCP	NA	NA	-0.4902621	NA
ESYT2	NA	NA	-0.1722486	NA
DNAJC2	NA	NA	-0.349252	NA
SUN1	NA	NA	-0.1336951	NA
DAGLB	NA	NA	-0.02644591	NA
CBX3	NA	NA	NaN	NA
ZYX	NA	NA	0.300786	NA
PMPCB	NA	NA	0.3025465	NA
PPIA	NA	NA	-0.1768333	NA
MAD1L1	NA	NA	-0.7292032	NA
ARFGEF1	NA	NA	-0.07655907	NA
PLEKHF2	NA	NA	NaN	NA
EIF4EBP1	NA	NA	0.3312818	NA
DECR1	NA	NA	0.4029885	NA
RBPMS	NA	NA	-0.5111644	NA
LSM1	NA	NA	0.05135434	NA
PCM1	NA	NA	-0.4721758	NA
CNOT7	NA	NA	-0.3619929	NA
MSRA	NA	NA	0.2791437	NA
RAD21	NA	NA	-0.6969731	NA
LACTB2	NA	NA	0.6267805	NA
VPS28	NA	NA	-0.0246034	NA
LYPLA1	NA	NA	0.3288778	NA
FABP5	NA	NA	0.2700687	NA
ATP6V1B2	NA	NA	0.7689854	NA
ATP6V1C1	NA	NA	0.5305724	NA
KHDRBS3	NA	NA	NaN	NA
FAM203B	NA	NA	-0.17465	NA
FAM203A	NA	NA	-0.17465	NA
COPS5	NA	NA	0.1385527	NA
PTDSS1	NA	NA	0.3154147	NA
C8orf33	NA	NA	-0.2255217	NA
TATDN1	NA	NA	-0.1164978	NA
RPS20	NA	NA	-0.270828	NA
RPL8	NA	NA	-0.3328512	NA
PTK2	NA	NA	0.1081454	NA
EIF3E	NA	NA	-0.1575611	NA
DERL1	NA	NA	-0.02005773	NA
ASAH1	NA	NA	1.959486	NA
EMC2	NA	NA	-0.2513252	NA
SLC39A14	NA	NA	0.1245502	NA
LRRC14	NA	NA	NaN	NA
RRS1	NA	NA	-0.2609891	NA
TSTA3	NA	NA	0.6303046	NA
PLEC	NA	NA	0.07656935	NA
DGAT1	NA	NA	NaN	NA
COX6C	NA	NA	-3.232001	NA
PROSC	NA	NA	0.2518308	NA
GSR	NA	NA	0.6356068	NA
ARMC1	NA	NA	-0.1852322	NA
MCM4	NA	NA	-1.359352	NA
UBE2V2	NA	NA	NaN	NA
GTF2E2	NA	NA	-0.2645966	NA
IMPA1	NA	NA	0.2932529	NA
FDFT1	NA	NA	0.1004067	NA
YWHAZ	NA	NA	-0.05672219	NA
KIF13B	NA	NA	-0.5433969	NA
MRPS28	NA	NA	-0.6602897	NA
MRPL13	NA	NA	-0.01149568	NA
EEF1D	NA	NA	-0.3904476	NA
MRPL15	NA	NA	-0.2021357	NA
GGH	NA	NA	0.2946679	NA
CPNE3	NA	NA	0.07069372	NA
ENY2	NA	NA	-0.4951643	NA
IKBKB	NA	NA	0.2665068	NA
TACC1	NA	NA	0.07462332	NA
SNTB1	NA	NA	NaN	NA
CPSF1	NA	NA	-0.3238888	NA
UBR5	NA	NA	-0.6720179	NA
FNTA	NA	NA	0.1711734	NA
ERLIN2	NA	NA	0.143102	NA
GSDMD	NA	NA	-0.6358008	NA
AGPAT5	NA	NA	-0.03646807	NA
BOP1	NA	NA	-0.2549568	NA
KIAA0196	NA	NA	0.2742327	NA
CYC1	NA	NA	0.3660946	NA
RPL7	NA	NA	-0.3354833	NA
POMK	NA	NA	-0.2359059	NA
RAB2A	NA	NA	-0.1272371	NA
GINS4	NA	NA	-0.3330024	NA
HOOK3	NA	NA	-0.5425057	NA
VDAC3	NA	NA	0.1848673	NA
BIN3	NA	NA	-0.05074545	NA
KIAA1429	NA	NA	-0.5842891	NA
EEF1D	NA	NA	NaN	NA
VCPIP1	NA	NA	0.7654496	NA
PUF60	NA	NA	-0.4029403	NA
RRM2B	NA	NA	1.749426	NA
SH2D4A	NA	NA	0.5932892	NA
MTERFD1	NA	NA	NaN	NA
MTMR9	NA	NA	0.1493286	NA
TMEM70	NA	NA	-0.1264442	NA
FAM91A1	NA	NA	-0.06115411	NA
STAU2	NA	NA	0.4791604	NA
ELP3	NA	NA	-0.5403429	NA
ATAD2	NA	NA	-1.625433	NA
TRAPPC9	NA	NA	0.745115	NA
OTUD6B	NA	NA	0.07574909	NA
CCAR2	NA	NA	-0.4743582	NA
POLR3D	NA	NA	0.04424085	NA
ERI1	NA	NA	-0.01826826	NA
RBM12B	NA	NA	-0.08202131	NA
RDH10	NA	NA	2.069633	NA
PDP1	NA	NA	0.1841624	NA
TRAM1	NA	NA	0.03218213	NA
RPL30	NA	NA	-0.3533233	NA
POLB	NA	NA	-0.0238941	NA
UQCRB	NA	NA	-2.375874	NA
NDUFB9	NA	NA	-2.96643	NA
INTS9	NA	NA	0.05251619	NA
SPAG1	NA	NA	0.04039308	NA
POP1	NA	NA	-0.4177041	NA
ASPH	NA	NA	0.6697171	NA
CTSB	NA	NA	0.4895241	NA
ATP6V1H	NA	NA	0.669304	NA
TNFRSF10B	NA	NA	0.5408514	NA
SDCBP	NA	NA	-0.9048887	NA
NBN	NA	NA	-0.6807745	NA
TCEB1	NA	NA	0.04346757	NA
XPO7	NA	NA	-0.05893985	NA
VPS37A	NA	NA	0.06956125	NA
FAM49B	NA	NA	0.2811058	NA
PPP3CC	NA	NA	0.306484	NA
TTI2	NA	NA	-0.9696755	NA
DCAF13	NA	NA	-0.4616333	NA
PBK	NA	NA	-0.8237494	NA
ASH2L	NA	NA	-0.2884177	NA
MTDH	NA	NA	0.162848	NA
RMDN1	NA	NA	0.168058	NA
MAK16	NA	NA	0.07145156	NA
PPP2R2A	NA	NA	0.1253368	NA
TCEA1	NA	NA	-0.5145011	NA
INTS8	NA	NA	-0.2001491	NA
ASAP1	NA	NA	0.1747842	NA
CHMP7	NA	NA	-0.1415635	NA
YTHDF3	NA	NA	-0.2356045	NA
CCDC25	NA	NA	-0.1669724	NA
PDLIM2	NA	NA	0.374449	NA
PLEC	NA	NA	NaN	NA
PLEC	NA	NA	0.1533429	NA
SCRIB	NA	NA	0.04134282	NA
STK3	NA	NA	0.06766658	NA
ARHGEF10	NA	NA	0.06981522	NA
SORBS3	NA	NA	0.02243419	NA
ADAM9	NA	NA	-0.001153691	NA
EFR3A	NA	NA	0.3078585	NA
GOLGA7	NA	NA	-0.168257	NA
INTS10	NA	NA	-0.4294284	NA
TPD52	NA	NA	3.742439	NA
NAT1	NA	NA	0.4046681	NA
EIF3H	NA	NA	-0.2294648	NA
AGO2	NA	NA	-0.1467855	NA
EXOSC4	NA	NA	-0.5753124	NA
ASPH	NA	NA	NaN	NA
DOCK5	NA	NA	0.3145532	NA
IMPAD1	NA	NA	-0.363115	NA
TATDN1	NA	NA	NaN	NA
CHD7	NA	NA	0.03593408	NA
NUDCD1	NA	NA	-0.06460696	NA
PYCRL	NA	NA	0.04985643	NA
SORBS3	NA	NA	NaN	NA
CTNNAL1	NA	NA	0.2808706	NA
HINT2	NA	NA	-0.004321597	NA
PSAT1	NA	NA	0.5982822	NA
LRRC8A	NA	NA	0.02272744	NA
PSMD5	NA	NA	-0.07942925	NA
ANAPC2	NA	NA	-0.3335382	NA
PSMB7	NA	NA	-0.01206797	NA
HSPA5	NA	NA	0.03883612	NA
TJP2	NA	NA	-0.5702686	NA
UGCG	NA	NA	0.3296128	NA
SIGMAR1	NA	NA	0.1996861	NA
NIPSNAP3A	NA	NA	0.3663734	NA
VAV2	NA	NA	-0.03857663	NA
WDR5	NA	NA	-0.340847	NA
SURF4	NA	NA	-0.1000357	NA
SPTLC1	NA	NA	0.2212532	NA
EDF1	NA	NA	-0.3431235	NA
MRPS2	NA	NA	NaN	NA
GLIPR2	NA	NA	-0.01549757	NA
ANP32B	NA	NA	-0.4731116	NA
TUBB4B	NA	NA	-0.1194226	NA
SMC2	NA	NA	-1.057346	NA
MAN1B1	NA	NA	NaN	NA
RAD23B	NA	NA	0.07081506	NA
URM1	NA	NA	NaN	NA
ACO1	NA	NA	0.1659361	NA
POLE3	NA	NA	-1.10658	NA
REXO4	NA	NA	NaN	NA
MTAP	NA	NA	0.2927756	NA
TMEM245	NA	NA	0.1407778	NA
DNAJA1	NA	NA	-0.3112707	NA
PPP6C	NA	NA	-0.1574319	NA
TOR4A	NA	NA	-0.1260477	NA
CKS2	NA	NA	-0.9032697	NA
EXOSC2	NA	NA	-0.7222038	NA
EXOSC3	NA	NA	-0.5834228	NA
CRAT	NA	NA	0.2532745	NA
RABGAP1	NA	NA	0.1637688	NA
GTF3C4	NA	NA	-0.9193783	NA
FPGS	NA	NA	-0.162339	NA
SURF1	NA	NA	NaN	NA
IFT74	NA	NA	-0.2135756	NA
AK1	NA	NA	0.5514372	NA
NCBP1	NA	NA	-0.5469561	NA
RPS6	NA	NA	-0.3985692	NA
VCP	NA	NA	0.01025064	NA
GNE	NA	NA	0.01414991	NA
SH3GLB2	NA	NA	-0.0870554	NA
RPL12	NA	NA	-0.3092926	NA
SURF6	NA	NA	NaN	NA
DCTN3	NA	NA	0.043408	NA
PSIP1	NA	NA	-0.5703658	NA
TRAF2	NA	NA	-0.7201034	NA
C9orf142	NA	NA	-0.0859685	NA
GOLGA1	NA	NA	NaN	NA
PALM2-AKAP2	NA	NA	0.2833338	NA
AKAP2	NA	NA	0.2833338	NA
GRHPR	NA	NA	0.3147865	NA
DDX31	NA	NA	-0.2057748	NA
UHRF2	NA	NA	0.01103543	NA
STXBP1	NA	NA	0.8035943	NA
SET	NA	NA	NaN	NA
TBC1D2	NA	NA	0.2245869	NA
UBQLN1	NA	NA	-0.1401242	NA
DENND4C	NA	NA	0.1730753	NA
GBA2	NA	NA	0.4155993	NA
CHMP5	NA	NA	-0.06460696	NA
FNBP1	NA	NA	0.03800634	NA
ALDH1B1	NA	NA	0.2820703	NA
NELFB	NA	NA	-0.4534901	NA
NANS	NA	NA	0.07293792	NA
PRPF4	NA	NA	-0.3390233	NA
NOL6	NA	NA	-0.3718376	NA
KIAA0368	NA	NA	-0.4092551	NA
NOL8	NA	NA	NaN	NA
KIAA1432	NA	NA	-0.923111	NA
PMPCA	NA	NA	0.2438649	NA
ARRDC1	NA	NA	NaN	NA
TMEM2	NA	NA	0.3428356	NA
UBAP2	NA	NA	-0.1292481	NA
GOLM1	NA	NA	0.155743	NA
BICD2	NA	NA	0.05117491	NA
NUP214	NA	NA	-0.2729787	NA
B4GALT1	NA	NA	-0.07737967	NA
TXN	NA	NA	0.6464283	NA
CLTA	NA	NA	0.07921897	NA
HNRNPK	NA	NA	-0.2422062	NA
PPP2R4	NA	NA	-0.01449817	NA
MRPL41	NA	NA	-0.09071803	NA
PLAA	NA	NA	0.01022161	NA
TPM2	NA	NA	NaN	NA
ANXA1	NA	NA	0.6459767	NA
NDUFA8	NA	NA	-2.198714	NA
NCS1	NA	NA	-0.180657	NA
NDUFB6	NA	NA	-0.9357615	NA
TPM2	NA	NA	-0.2564068	NA
SEC61B	NA	NA	-0.1721035	NA
NUDT2	NA	NA	0.2445312	NA
RNF20	NA	NA	-0.3862592	NA
POLR1E	NA	NA	-0.4353274	NA
GNAQ	NA	NA	0.2074445	NA
RAB14	NA	NA	-0.04739888	NA
PTGR1	NA	NA	0.5906578	NA
IKBKAP	NA	NA	-0.2760797	NA
RCL1	NA	NA	-0.1431322	NA
DPP7	NA	NA	0.03639264	NA
TRIM32	NA	NA	0.2016757	NA
PDCL	NA	NA	-0.08243006	NA
TLN1	NA	NA	0.1308866	NA
RPL7A	NA	NA	-0.3210045	NA
PHPT1	NA	NA	0.5621544	NA
LRSAM1	NA	NA	-0.2635152	NA
SET	NA	NA	-0.4053388	NA
GLE1	NA	NA	-0.4544918	NA
CDK9	NA	NA	-0.1352721	NA
GAPVD1	NA	NA	0.1079743	NA
MED27	NA	NA	-0.5571895	NA
PTGES2	NA	NA	-0.01206797	NA
UBAC1	NA	NA	0.4067323	NA
SMU1	NA	NA	-0.4918019	NA
MRPL50	NA	NA	-0.04795714	NA
DOLPP1	NA	NA	-0.6680891	NA
STOML2	NA	NA	-0.406972	NA
ZCCHC6	NA	NA	0.2219428	NA
ZCCHC6	NA	NA	-0.1289532	NA
PTPRD	NA	NA	-0.2426939	NA
QSOX2	NA	NA	-0.6702058	NA
FUBP3	NA	NA	-0.1541943	NA
FAM120A	NA	NA	-0.06873957	NA
RABEPK	NA	NA	NaN	NA
ALG2	NA	NA	0.09711605	NA
SMARCA2	NA	NA	-0.6298462	NA
CAMSAP1	NA	NA	-0.4572266	NA
NAA35	NA	NA	0.09321114	NA
ERP44	NA	NA	0.09057249	NA
SLC27A4	NA	NA	0.1910631	NA
RPL35	NA	NA	-0.4740466	NA
DNM1	NA	NA	0.2927933	NA
SMC5	NA	NA	-0.7410681	NA
TOR1A	NA	NA	0.1162229	NA
GOLGA2	NA	NA	-0.1506897	NA
HSDL2	NA	NA	0.3395826	NA
ARPC5L	NA	NA	0.1527888	NA
OSTF1	NA	NA	0.4708687	NA
C9orf114	NA	NA	-0.59579	NA
UBE2R2	NA	NA	0.3641435	NA
ALAD	NA	NA	0.7165997	NA
FAM129B	NA	NA	0.4703689	NA
HAUS6	NA	NA	-0.7208037	NA
AK3	NA	NA	0.3942592	NA
NUP188	NA	NA	-0.4327456	NA
UAP1L1	NA	NA	0.7239918	NA
VPS13A	NA	NA	0.03311192	NA
GRHPR	NA	NA	0.05030819	NA
