gene	value_1	value_2	Protein-HCT116-5-4	p_value
SYNCRIP	NA	NA	-0.5582467	NA
TPMT	NA	NA	0.2614318	NA
DYNLT1	NA	NA	0.3184614	NA
ALDH5A1	NA	NA	0.7774179	NA
TBCC	NA	NA	-0.09427465	NA
DEK	NA	NA	-0.1787548	NA
ACOT13	NA	NA	-0.1519857	NA
SOD2	NA	NA	-0.1030573	NA
TBP	NA	NA	-0.2152729	NA
NDUFAF4	NA	NA	-0.3980832	NA
MLLT4	NA	NA	0.2669771	NA
MUT	NA	NA	0.07756611	NA
PSMB1	NA	NA	0.2585793	NA
CDC40	NA	NA	-0.1387426	NA
COX7A2	NA	NA	0.04944106	NA
STK38	NA	NA	0.2256451	NA
CAP2	NA	NA	1.062078	NA
PRIM2	NA	NA	-0.2473134	NA
UQCC2	NA	NA	0.72032	NA
TBPL1	NA	NA	0.0960536	NA
RWDD1	NA	NA	-0.3223928	NA
MRPS10	NA	NA	0.1438788	NA
WRNIP1	NA	NA	-0.7242877	NA
RRP36	NA	NA	-0.975011	NA
CD109	NA	NA	2.490827	NA
LTV1	NA	NA	-0.2637155	NA
MEA1	NA	NA	-0.2076943	NA
MICAL1	NA	NA	1.721416	NA
CMTR1	NA	NA	-0.07376732	NA
FYN	NA	NA	-0.5326579	NA
MDN1	NA	NA	-0.3912475	NA
LEMD2	NA	NA	-0.203502	NA
ZNF318	NA	NA	0.2428117	NA
PHF3	NA	NA	-0.1236854	NA
TXNDC5	NA	NA	-0.3198377	NA
MED20	NA	NA	-0.2029019	NA
HMGA1	NA	NA	-0.3499277	NA
NT5DC1	NA	NA	0.261523	NA
MAP3K4	NA	NA	0.2425682	NA
GOPC	NA	NA	-0.01955052	NA
GCLC	NA	NA	0.1655796	NA
UBR2	NA	NA	0.3417581	NA
HIST1H1C	NA	NA	-0.03061928	NA
HIST1H1D	NA	NA	-0.03061928	NA
HIST1H1E	NA	NA	-0.03061928	NA
DST	NA	NA	-1.685384	NA
MAP3K7	NA	NA	-0.3538053	NA
FKBP5	NA	NA	-1.148673	NA
SEC63	NA	NA	-0.3882233	NA
NQO2	NA	NA	0.642666	NA
MARCKS	NA	NA	0.2176829	NA
GLO1	NA	NA	-0.3184014	NA
AKAP12	NA	NA	-0.9033873	NA
SYNE1	NA	NA	-0.06997423	NA
HDAC2	NA	NA	-0.3129752	NA
IGF2R	NA	NA	0.3109481	NA
STX7	NA	NA	0.5173261	NA
TCP1	NA	NA	-0.17286	NA
FBXO30	NA	NA	-0.856685	NA
ACAT2	NA	NA	0.1440464	NA
TFB1M	NA	NA	-0.3413361	NA
ITPR3	NA	NA	-0.3018491	NA
MTHFD1L	NA	NA	-0.5428129	NA
PHIP	NA	NA	0.1871343	NA
NUP153	NA	NA	-0.1080521	NA
ASF1A	NA	NA	-0.7817397	NA
ORC3	NA	NA	-0.5469408	NA
ARHGAP18	NA	NA	-0.3146967	NA
PTK7	NA	NA	-0.3934823	NA
PEX6	NA	NA	-0.4917237	NA
SSR1	NA	NA	0.4702975	NA
ECHDC1	NA	NA	-0.007710168	NA
COL12A1	NA	NA	-0.01084643	NA
GMPR	NA	NA	0.4531224	NA
L3MBTL3	NA	NA	-1.063258	NA
ELOVL5	NA	NA	0.1676149	NA
DTNBP1	NA	NA	-0.009887378	NA
BYSL	NA	NA	-0.6511858	NA
RPP40	NA	NA	0.3427819	NA
FAM120B	NA	NA	0.4583437	NA
TPD52L1	NA	NA	-0.8134201	NA
SLC35B2	NA	NA	0.2764938	NA
MTCH1	NA	NA	-0.2273205	NA
AARS2	NA	NA	-0.4392791	NA
ANKS1A	NA	NA	-0.5643396	NA
RPF2	NA	NA	-0.3613608	NA
EEF1A1	NA	NA	-0.061216	NA
KLC4	NA	NA	-0.07371179	NA
PCMT1	NA	NA	0.2814312	NA
MRPL2	NA	NA	-0.2112646	NA
SRPK1	NA	NA	-0.4230619	NA
RPL10A	NA	NA	-0.217927	NA
CD2AP	NA	NA	-0.5415208	NA
MED23	NA	NA	-0.03547054	NA
SERINC1	NA	NA	0.3029003	NA
HSP90AB1	NA	NA	-0.1025574	NA
MRPL14	NA	NA	-0.3362091	NA
ECI2	NA	NA	0.7791425	NA
LRRC1	NA	NA	-0.457118	NA
ASCC3	NA	NA	-0.4410636	NA
RPL7L1	NA	NA	-0.4364671	NA
RANBP9	NA	NA	-0.374131	NA
CDC5L	NA	NA	-0.2659169	NA
FBXO9	NA	NA	-2.301982	NA
KIAA1244	NA	NA	0.5239633	NA
PAK1IP1	NA	NA	-0.7531664	NA
RARS2	NA	NA	0.01306543	NA
CNPY3	NA	NA	0.2456174	NA
XPO5	NA	NA	-0.8495703	NA
PPIL4	NA	NA	-0.3450696	NA
PGM3	NA	NA	-0.181264	NA
HEBP2	NA	NA	0.9023438	NA
KDM1B	NA	NA	-0.5220119	NA
NUP43	NA	NA	-0.1268529	NA
SERPINB6	NA	NA	0.6087146	NA
REPS1	NA	NA	-0.2433991	NA
EXOC2	NA	NA	0.4711347	NA
SNX3	NA	NA	0.1068843	NA
SCAF8	NA	NA	-0.3309006	NA
EZR	NA	NA	-0.0312838	NA
UFL1	NA	NA	-0.3944867	NA
ABRACL	NA	NA	-0.09115636	NA
HDDC2	NA	NA	-0.871997	NA
MCM3	NA	NA	0.3883193	NA
TSPAN13	NA	NA	-0.2138869	NA
TBL2	NA	NA	-0.1640598	NA
POLR2J	NA	NA	-0.3375575	NA
POLR2J3	NA	NA	-0.3375575	NA
POLR2J2	NA	NA	-0.3375575	NA
GNB2	NA	NA	-0.1502998	NA
ATP6V1F	NA	NA	-0.1381716	NA
HUS1	NA	NA	0.2922559	NA
RABGEF1	NA	NA	-0.1468648	NA
ABCF2	NA	NA	-0.5618487	NA
ARPC1B	NA	NA	-0.08175119	NA
ARPC1A	NA	NA	-0.08175119	NA
PRKAG2	NA	NA	0.5282371	NA
TWISTNB	NA	NA	0.0992867	NA
FAM115A	NA	NA	-0.02574971	NA
SEC61G	NA	NA	0.5102032	NA
C7orf55-LUC7L2	NA	NA	-0.1359341	NA
FIS1	NA	NA	-0.2170411	NA
SLC25A13	NA	NA	-0.7160735	NA
SERPINE1	NA	NA	1.805086	NA
CHCHD2	NA	NA	-0.726687	NA
YKT6	NA	NA	-0.04553564	NA
CPSF4	NA	NA	-0.107166	NA
CAV1	NA	NA	-1.667316	NA
PARP12	NA	NA	0.5441886	NA
PDIA4	NA	NA	0.187261	NA
RHBDD2	NA	NA	0.03871708	NA
TRIM4	NA	NA	-0.3784568	NA
WASL	NA	NA	-0.3079835	NA
NDUFA4	NA	NA	0.09158111	NA
AIMP2	NA	NA	-0.2352016	NA
BUD31	NA	NA	-0.2822235	NA
PDAP1	NA	NA	-0.2580628	NA
RBM33	NA	NA	0.3468603	NA
WBSCR22	NA	NA	-0.8950821	NA
HIBADH	NA	NA	-0.01171085	NA
TRA2A	NA	NA	-0.214508	NA
LAMB1	NA	NA	1.003242	NA
EIF4H	NA	NA	-0.0842879	NA
CUL1	NA	NA	-0.145856	NA
CALD1	NA	NA	-0.01555911	NA
PON2	NA	NA	-0.4441566	NA
ORC5	NA	NA	-0.50179	NA
CHCHD3	NA	NA	0.02693245	NA
DLD	NA	NA	0.1294722	NA
GBAS	NA	NA	-0.02966166	NA
RHEB	NA	NA	0.2636677	NA
RPA3	NA	NA	0.06230606	NA
RFC2	NA	NA	-0.04276881	NA
EGFR	NA	NA	1.050537	NA
PSPH	NA	NA	-0.4954875	NA
AKAP9	NA	NA	0.5768607	NA
AGK	NA	NA	0.128402	NA
CEP41	NA	NA	0.4208547	NA
CLIP2	NA	NA	0.1001723	NA
CAV2	NA	NA	-1.064223	NA
UBE2H	NA	NA	1.821424	NA
MEPCE	NA	NA	-0.4034303	NA
PSMC2	NA	NA	-0.2571659	NA
AVL9	NA	NA	-0.04492735	NA
BZW2	NA	NA	-0.8770226	NA
CDK6	NA	NA	-0.5850999	NA
CDK5	NA	NA	0.7646828	NA
OSBPL3	NA	NA	0.6024569	NA
WIPI2	NA	NA	-0.1471701	NA
TES	NA	NA	-1.016395	NA
DNAJB6	NA	NA	0.4951835	NA
HSPB1	NA	NA	0.2535053	NA
POLD2	NA	NA	0.1097028	NA
CAPZA2	NA	NA	0.05616735	NA
POP7	NA	NA	0.3467965	NA
SRI	NA	NA	-0.1032148	NA
CCT6A	NA	NA	-0.1515322	NA
GUSB	NA	NA	-0.6697858	NA
VPS41	NA	NA	0.4964112	NA
TAF6	NA	NA	-0.2732497	NA
MET	NA	NA	-0.5115262	NA
DFNA5	NA	NA	-0.03871247	NA
SSBP1	NA	NA	-0.1724736	NA
PLOD3	NA	NA	0.6888629	NA
PSMG3	NA	NA	-0.8007015	NA
GGCT	NA	NA	-0.7548064	NA
C7orf26	NA	NA	-0.3434881	NA
LANCL2	NA	NA	-0.1801413	NA
SEPT7	NA	NA	0.383206	NA
PUS7	NA	NA	-0.6181629	NA
PURB	NA	NA	0.3596336	NA
CALU	NA	NA	0.2309407	NA
GTF2I	NA	NA	-0.238136	NA
EXOC4	NA	NA	0.3661404	NA
LRWD1	NA	NA	-0.3737571	NA
BAZ1B	NA	NA	0.2068617	NA
OGDH	NA	NA	0.3932979	NA
NT5C3A	NA	NA	-0.1025427	NA
NSUN5	NA	NA	-0.313495	NA
DBNL	NA	NA	0.2668111	NA
SND1	NA	NA	0.1285573	NA
AP1S1	NA	NA	0.2563446	NA
NUB1	NA	NA	0.4124021	NA
AGAP3	NA	NA	-0.4915308	NA
FSCN1	NA	NA	0.2258285	NA
COPS6	NA	NA	-0.09706318	NA
VKORC1L1	NA	NA	-0.9908534	NA
ARMC10	NA	NA	-0.2890272	NA
GTPBP10	NA	NA	-0.5330436	NA
ABHD11	NA	NA	0.1364893	NA
FLNC	NA	NA	-1.316106	NA
MTPN	NA	NA	0.1810728	NA
EPHB4	NA	NA	-0.2415434	NA
NUPL2	NA	NA	0.5680634	NA
ARF5	NA	NA	-0.03125306	NA
CASP2	NA	NA	-0.4751006	NA
ANKMY2	NA	NA	0.2811937	NA
RALA	NA	NA	-0.1917253	NA
PSMA2	NA	NA	0.2257685	NA
GSTK1	NA	NA	0.3795585	NA
NAA38	NA	NA	-0.5116729	NA
SRRT	NA	NA	0.03484438	NA
ASL	NA	NA	0.2906829	NA
ATP5J2	NA	NA	0.5929378	NA
LSM5	NA	NA	-0.4931149	NA
YWHAG	NA	NA	0.1314863	NA
BCAP29	NA	NA	0.0566715	NA
NUDCD3	NA	NA	0.7506065	NA
HEATR2	NA	NA	-0.3073203	NA
PTPN12	NA	NA	-0.2913237	NA
SCRN1	NA	NA	0.2679552	NA
MDH2	NA	NA	0.08419986	NA
BLVRA	NA	NA	1.192406	NA
CYP51A1	NA	NA	-0.5864059	NA
TMED4	NA	NA	-0.07045113	NA
MKLN1	NA	NA	-0.4599727	NA
CBX3	NA	NA	-0.05905522	NA
PODXL	NA	NA	0.3431235	NA
MCM7	NA	NA	0.4088205	NA
ZC3HC1	NA	NA	-0.1652241	NA
TRIP6	NA	NA	-0.02344748	NA
DDX56	NA	NA	-0.6258188	NA
MPP6	NA	NA	0.1090262	NA
RBM28	NA	NA	-0.7988428	NA
WBSCR16	NA	NA	0.1984942	NA
TBRG4	NA	NA	-0.4348513	NA
SRPK2	NA	NA	0.2938414	NA
FAM3C	NA	NA	0.2600257	NA
SYPL1	NA	NA	0.1220951	NA
GNAI1	NA	NA	-1.759161	NA
IMPDH1	NA	NA	-0.1809859	NA
COG5	NA	NA	0.3534247	NA
SLC4A2	NA	NA	0.03193498	NA
FBXL18	NA	NA	0.3811726	NA
RSBN1L	NA	NA	-0.2703472	NA
TNPO3	NA	NA	-0.1053934	NA
TMEM106B	NA	NA	-0.4717487	NA
NCAPG2	NA	NA	0.7286689	NA
EIF3B	NA	NA	0.04530324	NA
HNRNPA2B1	NA	NA	0.08684761	NA
ESYT2	NA	NA	0.2951353	NA
ZC3HAV1	NA	NA	-0.03768196	NA
NDUFA5	NA	NA	-0.07215919	NA
AKR1B1	NA	NA	0.3987882	NA
GET4	NA	NA	0.1729995	NA
PPIA	NA	NA	0.05465472	NA
SBDS	NA	NA	-0.2913272	NA
CYCS	NA	NA	-0.07039665	NA
POR	NA	NA	0.3727293	NA
CCZ1	NA	NA	-0.2544854	NA
CCZ1B	NA	NA	-0.2544854	NA
TRIM56	NA	NA	-0.04707047	NA
CCDC132	NA	NA	-0.04030399	NA
PRKAR2B	NA	NA	0.5509704	NA
ASNS	NA	NA	-1.015918	NA
UBE3C	NA	NA	0.3907777	NA
MRPS33	NA	NA	-0.1002923	NA
ANLN	NA	NA	0.8097602	NA
IGF2BP3	NA	NA	-2.934056	NA
BRAT1	NA	NA	-0.3524184	NA
TNS3	NA	NA	0.3502998	NA
MRPS17	NA	NA	-0.2135374	NA
GARS	NA	NA	0.5123739	NA
NUP205	NA	NA	0.2590615	NA
URGCP	NA	NA	-0.179062	NA
DNAJC2	NA	NA	-0.2209866	NA
SUN1	NA	NA	-0.1340321	NA
DAGLB	NA	NA	-0.472439	NA
ZYX	NA	NA	1.014533	NA
PMPCB	NA	NA	0.03667874	NA
MAD1L1	NA	NA	0.08746284	NA
ARFGEF1	NA	NA	-0.1322157	NA
PLEKHF2	NA	NA	0.1866512	NA
EIF4EBP1	NA	NA	-0.5027504	NA
DECR1	NA	NA	0.3295596	NA
RBPMS	NA	NA	-0.643098	NA
LSM1	NA	NA	-0.2865446	NA
PCM1	NA	NA	0.4802017	NA
CNOT7	NA	NA	-0.04489555	NA
MSRA	NA	NA	0.1463945	NA
RAD21	NA	NA	-0.1644963	NA
LACTB2	NA	NA	-0.539184	NA
VPS28	NA	NA	-0.1191854	NA
LYPLA1	NA	NA	-0.4403167	NA
FABP5	NA	NA	-1.47903	NA
ATP6V1B2	NA	NA	0.2303987	NA
ATP6V1C1	NA	NA	0.1223414	NA
KHDRBS3	NA	NA	0.2907367	NA
FAM203B	NA	NA	-0.5727577	NA
FAM203A	NA	NA	-0.5727577	NA
COPS5	NA	NA	-0.2283368	NA
PTDSS1	NA	NA	0.4337724	NA
C8orf33	NA	NA	-1.386827	NA
TATDN1	NA	NA	-0.001430889	NA
RPS20	NA	NA	-0.3173368	NA
RPL8	NA	NA	-0.1415267	NA
PTK2	NA	NA	-0.6234261	NA
EIF3E	NA	NA	0.2441458	NA
DERL1	NA	NA	0.2701536	NA
ASAH1	NA	NA	-0.257097	NA
EMC2	NA	NA	-0.8825176	NA
SLC39A14	NA	NA	-0.1903057	NA
LRRC14	NA	NA	0.5229242	NA
RRS1	NA	NA	-0.3677962	NA
TSTA3	NA	NA	0.4040414	NA
PLEC	NA	NA	-0.1996238	NA
DGAT1	NA	NA	0.5707543	NA
COX6C	NA	NA	0.1003707	NA
PROSC	NA	NA	-0.1984771	NA
GSR	NA	NA	0.01777946	NA
ARMC1	NA	NA	-0.06669934	NA
MCM4	NA	NA	0.4051638	NA
UBE2V2	NA	NA	0.1394695	NA
GTF2E2	NA	NA	-0.4034083	NA
IMPA1	NA	NA	0.4148932	NA
FDFT1	NA	NA	-0.2379319	NA
YWHAZ	NA	NA	0.0647449	NA
KIF13B	NA	NA	0.479397	NA
MRPS28	NA	NA	0.09265997	NA
MRPL13	NA	NA	-0.1682842	NA
EEF1D	NA	NA	0.3076742	NA
MRPL15	NA	NA	-0.3312677	NA
GGH	NA	NA	1.05471	NA
CPNE3	NA	NA	-0.1008862	NA
ENY2	NA	NA	-0.5143645	NA
IKBKB	NA	NA	0.4442278	NA
TACC1	NA	NA	0.4891213	NA
SNTB1	NA	NA	2.664968	NA
CPSF1	NA	NA	-0.2253906	NA
UBR5	NA	NA	-0.3102178	NA
FNTA	NA	NA	-0.05611817	NA
ERLIN2	NA	NA	-0.2469774	NA
GSDMD	NA	NA	0.2957583	NA
AGPAT5	NA	NA	0.2614706	NA
BOP1	NA	NA	-0.3864872	NA
KIAA0196	NA	NA	0.2786416	NA
CYC1	NA	NA	0.1521751	NA
RPL7	NA	NA	-0.2320741	NA
POMK	NA	NA	-0.4187971	NA
RAB2A	NA	NA	0.1740229	NA
GINS4	NA	NA	-0.07617025	NA
HOOK3	NA	NA	0.4628899	NA
VDAC3	NA	NA	0.11703	NA
BIN3	NA	NA	0.0458764	NA
KIAA1429	NA	NA	-0.1507584	NA
VCPIP1	NA	NA	0.02380636	NA
PUF60	NA	NA	-0.352179	NA
RRM2B	NA	NA	0.1106305	NA
SH2D4A	NA	NA	-0.5509511	NA
MTERFD1	NA	NA	-0.4847807	NA
MTMR9	NA	NA	0.8172139	NA
TMEM70	NA	NA	0.1560082	NA
FAM91A1	NA	NA	0.09990108	NA
STAU2	NA	NA	0.1150671	NA
ELP3	NA	NA	-0.238085	NA
ATAD2	NA	NA	-0.1851297	NA
TRAPPC9	NA	NA	0.2395973	NA
OTUD6B	NA	NA	-0.3473224	NA
CCAR2	NA	NA	-0.1385686	NA
POLR3D	NA	NA	-0.0511545	NA
ERI1	NA	NA	-0.339838	NA
RBM12B	NA	NA	0.1247251	NA
RDH10	NA	NA	0.5641342	NA
PDP1	NA	NA	-0.23711	NA
TRAM1	NA	NA	0.1609202	NA
RPL30	NA	NA	-0.296226	NA
POLB	NA	NA	0.5412174	NA
UQCRB	NA	NA	0.1779815	NA
NDUFB9	NA	NA	0.04517442	NA
INTS9	NA	NA	-0.5356245	NA
SPAG1	NA	NA	0.4376906	NA
POP1	NA	NA	-0.7540662	NA
ASPH	NA	NA	0.06230088	NA
CTSB	NA	NA	0.8050448	NA
ATP6V1H	NA	NA	0.07162026	NA
TNFRSF10B	NA	NA	-0.5079013	NA
SDCBP	NA	NA	0.6156046	NA
NBN	NA	NA	-0.03488906	NA
TCEB1	NA	NA	0.5323669	NA
XPO7	NA	NA	-0.2951103	NA
VPS37A	NA	NA	0.3058785	NA
FAM49B	NA	NA	0.08528602	NA
PPP3CC	NA	NA	0.2621926	NA
TTI2	NA	NA	-0.1385204	NA
DCAF13	NA	NA	-0.8928211	NA
PBK	NA	NA	0.6083362	NA
ASH2L	NA	NA	0.07162537	NA
MTDH	NA	NA	-0.6208857	NA
RMDN1	NA	NA	-0.4757759	NA
MAK16	NA	NA	-0.4032365	NA
PPP2R2A	NA	NA	0.2764701	NA
TCEA1	NA	NA	-0.5204176	NA
INTS8	NA	NA	-0.2181632	NA
ASAP1	NA	NA	0.4068258	NA
CHMP7	NA	NA	-0.3013334	NA
YTHDF3	NA	NA	-0.3530616	NA
CCDC25	NA	NA	0.03463829	NA
PDLIM2	NA	NA	2.133103	NA
SCRIB	NA	NA	-0.04383923	NA
STK3	NA	NA	0.5591491	NA
ARHGEF10	NA	NA	0.3661404	NA
SORBS3	NA	NA	0.4220177	NA
ADAM9	NA	NA	0.1951244	NA
EFR3A	NA	NA	0.7822551	NA
GOLGA7	NA	NA	0.2431659	NA
INTS10	NA	NA	-0.2916768	NA
TPD52	NA	NA	-0.06638201	NA
NAT1	NA	NA	0.2132539	NA
EIF3H	NA	NA	0.2522414	NA
AGO2	NA	NA	-0.1797087	NA
EXOSC4	NA	NA	-0.3805256	NA
DOCK5	NA	NA	1.498379	NA
IMPAD1	NA	NA	0.2790552	NA
CHD7	NA	NA	-0.00384415	NA
NUDCD1	NA	NA	-0.2980163	NA
PYCRL	NA	NA	-0.4907167	NA
CTNNAL1	NA	NA	-0.2889459	NA
HINT2	NA	NA	0.3898666	NA
PSAT1	NA	NA	-0.2277258	NA
LRRC8A	NA	NA	0.05249495	NA
PSMD5	NA	NA	-0.05028062	NA
ANAPC2	NA	NA	0.005015464	NA
PSMB7	NA	NA	0.1750227	NA
HSPA5	NA	NA	-0.7244942	NA
TJP2	NA	NA	0.2001334	NA
UGCG	NA	NA	0.1849238	NA
SIGMAR1	NA	NA	-0.8942502	NA
NIPSNAP3A	NA	NA	0.2123825	NA
VAV2	NA	NA	-0.781615	NA
WDR5	NA	NA	-0.5274968	NA
SURF4	NA	NA	0.1654296	NA
SPTLC1	NA	NA	0.0692898	NA
EDF1	NA	NA	-0.2672706	NA
MRPS2	NA	NA	-0.2062365	NA
GLIPR2	NA	NA	0.992828	NA
ANP32B	NA	NA	-0.6384405	NA
TUBB4B	NA	NA	0.3062302	NA
SMC2	NA	NA	0.8176416	NA
MAN1B1	NA	NA	-0.05715665	NA
RAD23B	NA	NA	-0.6946703	NA
URM1	NA	NA	-0.5695903	NA
ACO1	NA	NA	-0.08405846	NA
POLE3	NA	NA	-1.061812	NA
REXO4	NA	NA	-0.780116	NA
MTAP	NA	NA	-0.8808431	NA
TMEM245	NA	NA	0.01664974	NA
DNAJA1	NA	NA	0.2724554	NA
PPP6C	NA	NA	-0.1491581	NA
TOR4A	NA	NA	0.2779847	NA
CKS2	NA	NA	0.3365119	NA
EXOSC2	NA	NA	-0.2087377	NA
EXOSC3	NA	NA	-0.4093387	NA
CRAT	NA	NA	2.093154	NA
RABGAP1	NA	NA	-1.93776	NA
GTF3C4	NA	NA	0.1253861	NA
FPGS	NA	NA	-0.2609987	NA
SURF1	NA	NA	0.6689307	NA
IFT74	NA	NA	-0.3414924	NA
AK1	NA	NA	0.8861314	NA
NCBP1	NA	NA	-0.0665189	NA
RPS6	NA	NA	-0.1535909	NA
VCP	NA	NA	0.1330374	NA
GNE	NA	NA	1.294242	NA
SH3GLB2	NA	NA	0.04823624	NA
RPL12	NA	NA	-0.2276284	NA
SURF6	NA	NA	-0.2133367	NA
DCTN3	NA	NA	0.3234821	NA
PSIP1	NA	NA	-0.003961198	NA
TRAF2	NA	NA	-0.3010399	NA
C9orf142	NA	NA	0.7583138	NA
GOLGA1	NA	NA	-0.02648689	NA
PALM2-AKAP2	NA	NA	1.923149	NA
AKAP2	NA	NA	1.923149	NA
GRHPR	NA	NA	1.290455	NA
DDX31	NA	NA	-0.1907502	NA
UHRF2	NA	NA	0.1762826	NA
STXBP1	NA	NA	0.8003613	NA
SET	NA	NA	-0.6260934	NA
TBC1D2	NA	NA	1.136012	NA
UBQLN1	NA	NA	-0.1773103	NA
DENND4C	NA	NA	0.888149	NA
GBA2	NA	NA	1.357284	NA
CHMP5	NA	NA	0.4274538	NA
FNBP1	NA	NA	-0.3956739	NA
ALDH1B1	NA	NA	-0.643093	NA
NELFB	NA	NA	-0.3469032	NA
NANS	NA	NA	0.3562177	NA
PRPF4	NA	NA	-0.4101903	NA
NOL6	NA	NA	-0.7619188	NA
KIAA0368	NA	NA	-0.4518321	NA
NOL8	NA	NA	-0.644835	NA
KIAA1432	NA	NA	-0.4953946	NA
PMPCA	NA	NA	0.02955887	NA
ARRDC1	NA	NA	-0.258674	NA
TMEM2	NA	NA	0.5843853	NA
UBAP2	NA	NA	-0.6182072	NA
GOLM1	NA	NA	-0.2215559	NA
BICD2	NA	NA	0.389787	NA
NUP214	NA	NA	0.08135932	NA
B4GALT1	NA	NA	-0.6140941	NA
TXN	NA	NA	0.5375446	NA
CLTA	NA	NA	0.1529307	NA
HNRNPK	NA	NA	0.2338009	NA
PPP2R4	NA	NA	0.2367069	NA
MRPL41	NA	NA	-0.06894947	NA
PLAA	NA	NA	0.1139672	NA
TPM2	NA	NA	-0.1009017	NA
ANXA1	NA	NA	-0.1876908	NA
NDUFA8	NA	NA	-0.2475976	NA
NCS1	NA	NA	-0.1924967	NA
NDUFB6	NA	NA	-0.1585904	NA
SEC61B	NA	NA	-0.2422111	NA
NUDT2	NA	NA	-0.03442627	NA
RNF20	NA	NA	-0.221416	NA
POLR1E	NA	NA	-0.6463057	NA
GNAQ	NA	NA	0.4540787	NA
RAB14	NA	NA	0.0167816	NA
PTGR1	NA	NA	0.1946	NA
IKBKAP	NA	NA	-0.1320522	NA
RCL1	NA	NA	-0.4937119	NA
DPP7	NA	NA	0.1293882	NA
TRIM32	NA	NA	-0.1318845	NA
PDCL	NA	NA	1.819259	NA
TLN1	NA	NA	0.5443369	NA
RPL7A	NA	NA	-0.1096822	NA
PHPT1	NA	NA	0.4822288	NA
LRSAM1	NA	NA	-0.06112878	NA
GLE1	NA	NA	0.1090262	NA
CDK9	NA	NA	-0.2348511	NA
GAPVD1	NA	NA	-0.03200511	NA
MED27	NA	NA	0.2822437	NA
PTGES2	NA	NA	-0.5251918	NA
UBAC1	NA	NA	0.1698856	NA
SMU1	NA	NA	-0.08551203	NA
MRPL50	NA	NA	-0.04305122	NA
DOLPP1	NA	NA	-0.0596668	NA
STOML2	NA	NA	-0.584231	NA
ZCCHC6	NA	NA	-0.1017529	NA
PTPRD	NA	NA	-0.260605	NA
QSOX2	NA	NA	-0.4912469	NA
FUBP3	NA	NA	-0.09324065	NA
FAM120A	NA	NA	0.2020927	NA
RABEPK	NA	NA	-0.760444	NA
ALG2	NA	NA	0.2179751	NA
SMARCA2	NA	NA	1.030535	NA
CAMSAP1	NA	NA	0.2642361	NA
NAA35	NA	NA	-0.516237	NA
ERP44	NA	NA	-0.1738723	NA
SLC27A4	NA	NA	-0.4039808	NA
RPL35	NA	NA	-0.2312609	NA
DNM1	NA	NA	-0.862657	NA
SMC5	NA	NA	-0.09484676	NA
TOR1A	NA	NA	-0.2242106	NA
GOLGA2	NA	NA	-0.5662802	NA
HSDL2	NA	NA	0.335513	NA
ARPC5L	NA	NA	-0.4651216	NA
OSTF1	NA	NA	-0.2262672	NA
C9orf114	NA	NA	-0.4851556	NA
UBE2R2	NA	NA	-0.2226586	NA
ALAD	NA	NA	1.063296	NA
FAM129B	NA	NA	0.2928995	NA
HAUS6	NA	NA	-0.5343216	NA
AK3	NA	NA	-0.4587331	NA
NUP188	NA	NA	0.1019184	NA
UAP1L1	NA	NA	-0.2841944	NA
VPS13A	NA	NA	0.4258889	NA
RANBP6	NA	NA	0.8047477	NA
NTMT1	NA	NA	-0.2284407	NA
TEX10	NA	NA	-0.4990746	NA
C9orf78	NA	NA	-0.5591181	NA
SPIN1	NA	NA	-0.5969505	NA
SEC16A	NA	NA	0.2408638	NA
IARS	NA	NA	-0.1194006	NA
DDX58	NA	NA	0.5571418	NA
PRRC2B	NA	NA	-0.752364	NA
FOCAD	NA	NA	-0.2513969	NA
KIAA0020	NA	NA	-0.5689654	NA
RABL6	NA	NA	0.2228706	NA
SPTAN1	NA	NA	0.6544355	NA
FKBP15	NA	NA	0.4839834	NA
PTBP3	NA	NA	-0.3742059	NA
BCCIP	NA	NA	-0.9532435	NA
ANXA7	NA	NA	0.1234014	NA
EIF4EBP2	NA	NA	0.1569002	NA
ARL3	NA	NA	0.3848234	NA
HNRNPF	NA	NA	-0.1395203	NA
MKI67	NA	NA	0.6956376	NA
CHUK	NA	NA	-0.182868	NA
TIAL1	NA	NA	-0.1469403	NA
CDC123	NA	NA	-0.516286	NA
BMS1	NA	NA	-0.6019262	NA
LIPA	NA	NA	-0.02747287	NA
ERLIN1	NA	NA	-0.2696339	NA
GLRX3	NA	NA	-0.01380024	NA
ALDH18A1	NA	NA	-0.669121	NA
PIP4K2A	NA	NA	-0.1199336	NA
PFKP	NA	NA	0.4385058	NA
P4HA1	NA	NA	0.7817504	NA
CTBP2	NA	NA	-0.09945876	NA
PDLIM1	NA	NA	-0.2379763	NA
HELLS	NA	NA	0.1614338	NA
EXOC6	NA	NA	0.2805951	NA
HSPA12A	NA	NA	0.3253644	NA
PSAP	NA	NA	-0.4355168	NA
IFIT5	NA	NA	0.4081684	NA
KIF5B	NA	NA	0.1995054	NA
RGS10	NA	NA	0.1292171	NA
BUB3	NA	NA	-0.2444458	NA
HNRNPH3	NA	NA	-0.911967	NA
AIFM2	NA	NA	1.323024	NA
CUL2	NA	NA	-0.004638512	NA
DNAJB12	NA	NA	-0.5300723	NA
RAB18	NA	NA	0.06439996	NA
PPA1	NA	NA	-0.5302514	NA
DOCK1	NA	NA	0.6560844	NA
HPS6	NA	NA	0.0478748	NA
