gene	Protein-HCT116-5-4	Protein-RPE-1-21-3	Protein-RPE-1-5-3-12-3
HDDC3	-0.5546067	0.3590697	-0.2819059
DENND4A	-0.3944891	0.02107231	0.1393788
MESDC2	-0.2860556	-0.3435784	-0.1067503
RPAP1	-0.006518424	0.3014792	NaN
RMDN3	0.1499097	0.009132207	0.09716236
CD276	-0.4760166	0.01619109	-0.3451693
VPS13C	0.3006735	0.2038176	0.1274313
COMMD4	-0.1543207	-0.08800583	-0.07587489
LARP6	0.1393385	0.02972061	0.3286161
ANXA2	-0.01246253	0.2069781	-0.03012423
LRRC57	0.1232311	-0.07066411	NaN
PKM	1.11506	0.5334721	0.5722651
STARD9	0.0594239	NaN	NaN
TBC1D2B	0.1592574	-0.06391709	-0.395721
MORF4L1	-0.3968472	-0.3838288	-0.3369689
CYFIP1	0.1582078	-0.01549757	-0.1656869
IVD	0.2414898	0.04132811	0.2472856
PPIB	-0.1630741	0.04132811	-0.009633886
MTMR10	0.5839042	0.2768501	-0.1028596
FAM98B	0.7833309	-0.1616942	0.1142695
MAN2C1	0.6508628	0.0377249	0.5869692
TMEM87A	-0.7078307	-0.1385524	-0.2859348
PTPN9	-0.103085	0.07644606	-0.090447
TPM1	-0.2648467	-0.5642318	-1.643672
MVP	1.489425	0.6540813	0.7606754
GLYR1	0.1063484	-0.4958998	-0.04376442
KIF22	0.4869717	NaN	NaN
C16orf80	-0.2341598	-0.2192151	0.05382316
FHOD1	-0.9155931	0.1844082	-0.3363976
PDPK1	0.0281379	0.1089909	0.2450783
PDPK2	0.0281379	0.1089909	0.2450783
CPNE7	0.0610158	1.072331	NaN
HAGH	1.709368	0.1728314	0.08289683
USP7	-0.4817267	-0.3214664	-0.0870554
KCTD5	-0.5121844	0.1628964	0.4792016
UBFD1	0.0247992	0.08295788	0.1533342
N4BP1	-0.2377281	NaN	NaN
EMC8	-1.131914	-0.1454818	0.09290937
PMM2	-0.3911908	0.1071039	-0.1388144
CD2BP2	-0.122507	-0.03674943	-0.1339581
TAOK2	-0.06444977	NaN	NaN
COX4I1	0.2376981	-0.7384653	0.03244768
FAM96B	-0.1063582	0.07780213	0.1648035
COG8	-0.4833912	0.04089753	0.3986457
NIP7	-0.6579459	-0.529771	0.3467933
MLST8	-0.3768027	-0.126143	0.09484943
CFDP1	-0.3033114	-0.3378782	-0.9341768
TCF25	-0.1593635	-0.1441769	-0.03534229
TRAPPC2L	-0.02811435	NaN	NaN
AKTIP	-0.1122645	0.5981075	NaN
ABCC1	-0.5038726	0.1073991	0.116739
RSL1D1	-1.028625	-0.3639	0.1861962
DDX19B	-0.07325665	NaN	NaN
DDX19A	-0.3988007	NaN	NaN
TERF2IP	-0.4977305	NaN	NaN
SLC7A5	-0.6492235	-0.1377659	-0.9267585
SRCAP	0.08947445	-0.6037849	NaN
SNTB2	0.3268825	0.3661131	-0.1278973
NUTF2	-0.09839389	0.3791322	0.4714487
CORO1A	1.149818	0.3712125	NaN
DECR2	1.009685	NaN	NaN
DYNC1LI2	0.3321324	0.277499	-0.09922788
GCSH	-0.1781588	0.2111807	0.3443001
EEF2K	-0.00128476	-0.04250415	-0.9656779
BCAR1	0.3234277	0.2189173	-0.1733832
DCTPP1	-0.7485778	-0.6011258	-0.403595
PPP4C	-0.2974108	-0.1365852	-0.04572247
RPS2	-0.2866386	-0.3381106	-0.1360601
TUBB3	0.6563039	-0.08133954	-0.1988712
ARL6IP1	0.05311137	-0.8473409	-0.3223472
KARS	-0.2381021	-0.1028596	0.2406737
NDE1	0.7907721	-0.1743041	-0.3043942
ARL2BP	-0.3571646	0.004783326	-0.08093056
MPHOSPH6	-0.4757759	-0.609944	0.07007278
LPCAT2	0.1881477	0.7067943	0.8178671
CBFB	0.5530354	-0.2957229	-0.1597584
TELO2	0.1009155	-0.4516296	-0.1783641
EIF3C	0.2627884	-0.2187191	-0.01592581
EIF3CL	0.2627884	-0.2187191	-0.01592581
COTL1	-0.06771198	0.2375067	-0.2858164
MAPK3	0.04012096	0.4811806	0.07466888
GOT2	-0.4349836	0.2612927	0.419758
POLR2C	-0.1694363	-0.3756233	-0.168257
TRADD	1.365588	0.3527315	-0.02048444
VPS35	0.2218153	0.08144573	0.06526459
NAE1	-0.01080777	-0.03506085	-0.01720926
DDX19A	-0.3988007	-0.1414328	-0.1107642
PSMD7	0.1943305	-0.08311117	-0.06143054
MYH11	-0.6831128	-0.4467856	-0.5114681
CSNK2A2	-0.05377817	-0.04306451	0.08042346
SLC12A4	1.4995	0.2667672	-0.07450541
NUBP1	0.1326427	0.1755498	0.4243585
NOB1	-0.3817614	-0.3299506	-0.1106305
NDUFAB1	0.2282244	0.1634134	0.708208
MT2A	1.177216	0.2115815	0.6691205
MVD	0.1138339	0.3317537	0.4881475
CREBBP	0.4066455	0.4169816	0.08899102
TERF2	-0.6710716	-0.05325048	0.35559
CMC2	0.4709698	-0.3075451	0.0697849
IST1	0.2810777	-0.2754869	-0.3746254
STUB1	0.3872522	0.2292639	0.2447876
VAC14	-0.08519821	0.7692806	0.9703845
CIAPIN1	-0.3372111	0.1038135	0.1093743
TCEB2	0.4555638	-0.05824732	0.09300177
HMOX2	0.00076595	0.1646094	0.03156273
TUFM	-0.4176057	0.1593152	0.6833445
CALB2	2.736825	NaN	NaN
HN1L	-0.2080943	-0.5357544	-0.6891203
AARS	-0.2078443	-0.1984942	-0.06557223
CTCF	-0.3988933	-0.2455373	-0.552622
CORO7-PAM16	0.7256975	-0.3863696	NaN
FTO	-0.00259285	-0.4569112	-0.611078
TSC2	0.3376337	0.1048991	-0.1731275
GALNS	-0.05406275	0.4156146	-0.05260179
STX4	0.4443491	0.4519383	0.1763322
TRAP1	-0.2852308	-0.1900459	0.3968591
VKORC1	0.6704777	-0.0802483	0.1558405
NUDT16L1	0.5118702	0.1171925	-0.09383053
DNAJA2	0.1166959	-0.1188912	-0.07765315
DCTN5	0.8475159	0.2285369	-0.1650436
UBE2I	-0.4887344	-0.07942925	0.07401583
RNPS1	-0.4833998	-0.384713	-0.1997508
ATP6V0D1	0.2336531	0.5572848	0.3010881
CCDC101	-0.09877556	NaN	NaN
BCKDK	1.106569	0.4590601	NaN
ARHGAP17	-0.2195345	0.1593635	0.1433728
LUC7L	0.1691529	-0.7523083	-0.6909087
EXOSC6	0.04273835	-0.4740466	0.04107556
HEATR3	-0.3964033	-0.2397646	-0.2246577
AMDHD2	-0.3107262	NaN	NaN
C16orf62	0.2191422	0.08900654	-0.03745246
COG8	-0.4833912	0.217256	0.09728583
COG4	0.1502782	-0.3022898	NaN
GPT2	-0.1874607	-0.1269729	0.4405376
COG7	0.4803685	0.1895941	-0.05130251
CNOT1	-0.305842	-0.3216972	0.005232017
ACSF3	-0.2256469	0.221381	0.5012997
PDPR	0.3492681	-0.133432	0.4929514
SHCBP1	-0.3988447	-0.362554	0.3813667
MRPS34	-0.1662113	-0.04921257	0.5322614
OGFOD1	-0.09877928	-0.3294106	-0.0207689
HSDL1	0.4652954	NaN	NaN
MRPL28	-0.2036148	-0.3032255	0.1751915
PGP	0.06992751	-0.153546	0.1555983
FAM192A	-0.5649046	-0.697062	-0.1032627
MLKL	-0.07104105	0.1139259	0.6514062
PHKB	0.5094113	0.1990406	-0.06653697
NOL3	-0.5944123	1.002628	0.9558998
ZC3H7A	-0.2609469	-0.02290048	-0.1078218
PAM16	-0.3034186	0.1969714	0.4449888
APRT	0.6843547	0.5084649	0.3270769
ERCC4	0.727964	-0.169412	-0.5293373
POLR3E	-0.4476613	-0.9629562	0.04119441
RPS15A	-0.3458048	-0.3190397	-0.123004
FUS	-0.01950668	-0.4829516	-0.162339
CIRH1A	-0.8643341	-0.1728715	0.2882231
USP10	-0.6061884	-0.4438188	-0.3624418
ZC3H18	-0.1560805	-0.4116431	-0.2854613
AP1G1	0.07532719	0.01202431	-0.08990482
DHX38	0.1541146	-0.3467585	-0.170566
DNAJA3	-0.1917842	-0.113167	0.1287714
PARN	-0.2645993	-0.1596292	-0.2015083
LCMT1	0.590414	0.1113713	0.06860445
GGA2	-0.06334885	-0.6971797	-0.2901885
MGRN1	0.07285645	-0.02190614	-0.07956582
SPG7	0.0347995	0.1006292	0.212601
SF3B3	-0.1559918	-0.4699901	-0.2853431
ECI1	0.1933797	-0.4201859	0.1499688
THOC6	-0.1116016	-0.1867542	-0.364012
PAPD5	-0.4297361	0.906575	-0.1844707
CYB5B	-0.275474	0.155325	0.3964224
CARHSP1	-0.1357604	0.005072814	-0.1782366
HIRIP3	-0.3360986	-0.9374951	-0.4419083
UQCRC2	0.4334113	-2.023433	0.08152212
ZNF598	-0.6514471	-0.06281245	0.07318071
NOMO3	-0.1141902	0.01263545	0.1113834
NOMO1	-0.1141902	0.01263545	0.1113834
NOMO2	-0.1141902	0.01263545	0.1113834
EDC4	0.0610158	-0.2853431	-0.2854613
CHMP1A	-0.193292	-0.3554674	-0.4456208
CHD9	-2.29461	NaN	NaN
PDXDC1	-0.08962972	-0.1899194	-0.5144001
SLC9A3R2	0.2687236	0.1219889	0.4578113
COQ9	0.2487777	NaN	NaN
NUP93	0.1091715	-0.4010844	-0.1706942
GNAO1	0.0163465	NaN	-0.04418428
VPS4A	0.2047668	-0.08990482	-0.3484591
TLDC1	0.533663	NaN	NaN
GTF3C1	-0.2447193	-0.4512243	-0.5150059
GLG1	0.09127133	-0.1804026	-0.2544731
CTU2	-1.110729	NaN	NaN
FAM65A	0.3651534	0.5233175	-0.4789201
AMFR	0.2203103	0.02417909	0.05979564
FAHD1	0.2963637	0.2038674	0.415403
CDIPT	0.08052122	-0.556503	-0.1377029
ATXN2L	-1.044938	-0.2176029	-0.06502078
THUMPD1	-0.2234917	-0.1563967	0.004884628
RHOT2	0.1606621	0.230753	0.0508761
TBC1D10B	0.8721719	0.07486647	0.1551507
XPO6	-0.7510037	-0.52687	-0.2689134
RPL13	0.02621973	-0.371057	-0.12618
ALDOA	1.005616	0.2190683	0.2301606
NTAN1	-0.2518533	-0.5284139	-0.1296127
TBL3	-0.669304	-0.3799536	0.06176687
NDUFB10	-0.24049	-1.059701	-0.1210154
ALG1	0.3028021	0.07764992	0.1899435
KNOP1	-0.8522599	NaN	-0.9015718
EARS2	0.07189995	0.1778491	0.3151454
NUBP2	0.02602103	0.01858563	0.1400304
CPNE2	0.6334777	-0.5672994	-0.8683707
NUDT21	-0.1808908	-0.372952	-0.1090263
NMRAL1	0.03181763	0.1593635	-0.1302719
BOLA2B	-0.6390912	0.222616	0.4744322
BOLA2	-0.6390912	0.222616	0.4744322
GINS3	0.1767058	-1.245233	-0.9093485
SRRM2	-0.1589125	-0.2890081	-0.1194226
GSPT1	-0.2685494	0.06487217	0.09015782
PIEZO1	0.09666675	0.5267014	-0.1204847
NFATC2IP	0.5125775	-1.089363	NaN
HSBP1	-0.1476336	0.0863849	0.09423316
LIG3	-0.4462342	-0.5455731	-0.4513224
UTP18	-0.748334	1.329522	0.4921191
PSMB6	0.1001573	0.06104432	0.2271852
YWHAE	0.05289282	-0.06364099	-0.02361025
LASP1	0.641176	0.2248904	0.02261011
HELZ	-0.8479497	0.2094281	-0.1683853
KPNB1	-0.1347463	-0.3298698	-0.1160985
NPLOC4	-0.2827209	0.01795748	0.07520084
NUP88	0.14496	-0.3142905	-0.1876411
KPNA2	-0.2214966	-0.5905302	0.1831956
TAOK1	-0.1647388	-0.4542812	NaN
NUFIP2	-0.6967278	-0.2926639	-0.1180939
SHMT1	0.3788445	-0.1360601	-0.2970153
OGFOD3	-0.4892405	-0.3869473	0.1854086
PRPSAP2	0.2988929	0.835188	0.2513498
EFTUD2	-0.1452543	-0.5067034	-0.1273693
SLC9A3R1	-0.7622895	-0.1613072	-0.2110122
ARHGDIA	-0.5675751	0.1236068	0.05619117
PFAS	0.5361524	-0.5136929	0.01329047
CRK	0.1974843	0.05616123	-0.1992483
MYBBP1A	-0.7600219	-0.592445	-0.2579761
NT5C	-0.8143713	0.4392259	0.06612517
TAX1BP3	0.3702732	0.2121496	-0.08460856
MRC2	2.026056	0.2218924	-0.6666657
SRSF2	-0.2058296	-0.523562	-0.2282337
HGS	-0.009045174	0.1324199	0.1139728
MRPS7	-0.2896685	-0.4628899	0.2054801
COIL	-0.8887817	-0.1708192	0.06187705
NSF	0.4319015	0.3700046	0.2271347
SLC16A3	-0.6027316	-0.0802483	-0.02970019
PELP1	-0.7123858	0.1298285	0.09274004
DCAF7	-0.7142215	-0.1712069	-0.1356662
SPAG7	0.1116269	-0.4404176	-0.2795307
GLOD4	0.02112396	0.06068324	0.1885289
HN1	-0.8171044	-0.3363976	0.3392175
MYH13	0.4010843	-0.3717261	-0.1823108
PRPF8	-0.1274943	-0.6072947	-0.1721035
HEXIM1	0.787516	-0.3558057	0.01927274
TRIM16	-0.5043457	0.2219343	-0.9274415
IGF2BP1	-0.04464964	0.4662174	0.3915125
IFI35	1.199403	-0.1693336	-0.106063
NAGLU	0.2944449	0.09136033	0.3259829
STX8	0.371707	0.01409166	-0.07409438
EIF4A3	-0.6451653	-0.4951834	-0.341872
TRAPPC1	0.2260623	0.3129573	0.7536041
RPL23	-0.1955787	-0.248292	-0.02800335
CBX1	-0.2459638	-0.3743997	-0.4922121
P4HB	-0.2360276	-0.156526	-0.432425
ACACA	-0.6479873	-0.2678354	-0.3951725
PSMD3	0.1963174	-0.08270259	-0.081067
UBE2Z	0.4462562	0.08738077	-0.06915224
NME1	-0.9330221	0.01676018	0.2659689
SCPEP1	0.3418637	0.8475454	0.6420088
TMEM11	-0.2409212	0.2249916	0.1069019
ZNF207	-0.2512984	-0.4912887	-0.2136273
SYNGR2	-0.5343174	0.7265905	NaN
C1QBP	-0.5137752	-0.001586036	0.3126526
UBTF	-0.4639968	-0.7853413	-0.6000795
EIF1	-0.4067897	-0.3414165	-0.2839217
PCYT2	-0.2522955	-0.03955954	0.1400782
SMG6	0.01350905	-0.1683853	NaN
CDC42EP4	-0.2179703	-0.3586213	-0.2678354
FXR2	-0.1798251	-0.114367	0.008580616
RAB5C	0.1996252	0.1032244	0.2377108
PHB	-0.03993318	-0.1135672	0.5991342
DDX5	0.01806431	-0.5373458	-0.04320459
SMARCE1	-0.0185035	-0.651775	-0.4348817
NLE1	-0.543535	-0.4776773	0.856894
PNPO	0.3265238	0.7413725	0.9708087
DUSP3	0.4655044	0.3907746	0.1572866
GALK1	-0.6405027	0.6732911	0.4848326
TACO1	0.156116	-0.2781037	0.02902852
SGSH	-0.2802437	NaN	NaN
RPA1	0.04277599	-0.7186137	-0.1628546
UTP6	-0.8041345	-0.4577518	-0.04054171
TAF15	-0.2436598	-0.06419307	0.02450191
GGA3	-0.1484399	0.2166325	0.4134034
CDK12	0.1255902	NaN	NaN
RPL23A	-0.1976992	-0.3199646	-0.1043367
ACLY	0.12196	0.2961729	0.1248175
GRB2	-0.3734323	-0.2056427	-0.05074545
PRKAR1A	0.4034997	-0.2195867	-0.05977056
COA3	0.4496768	NaN	NaN
DRG2	-0.06206574	-0.2247812	0.2108467
GOSR2	0.2653169	-0.1571731	-0.02275843
TOM1L1	-0.750973	-0.1378968	0.3416748
LGALS3BP	-0.385455	0.5148221	0.4877428
PSMC5	-0.03575662	-0.07121355	-0.01678161
CLTC	0.3715866	0.1669723	0.2308546
CCDC47	-0.9494216	-0.251204	0.09058784
MAP2K4	-0.02148216	-0.01891906	0.2733936
RPL19	-0.2549779	-0.3605329	-0.1402552
EIF4A1	-0.3554392	-0.3854863	-0.1523782
COPS3	-0.09135744	0.005434721	0.1748331
NPEPPS	0.08147596	0.5060248	0.5577093
ERAL1	-0.7097552	0.3991403	0.4267806
FASN	-1.226375	-0.1154328	0.03495828
FDXR	0.0417956	1.182131	1.336428
CPD	-0.2668366	0.3135129	0.14264
RPL26	-0.3185957	-0.41738	-0.2501126
GEMIN4	-0.298037	-0.7518714	0.04511872
PSMB3	0.1403309	0.09525004	0.2041168
ACADVL	0.1918803	0.5892464	-0.04334459
UNK	-0.285975	-0.3851602	-0.4135941
ICT1	-0.237479	-0.1873877	0.02101367
GOSR1	-0.262919	-0.2368294	-0.3355975
C17orf75	0.1301402	-0.4047941	-0.3208889
TRIM25	-0.6514584	0.08359976	0.5150473
PSME3	-0.1713317	-0.5154096	-0.08460856
SRR	-0.1503369	-0.005184348	-0.372395
ABR	-0.3073407	0.02776328	-0.06928982
TBCD	0.3613755	-0.3077783	-0.2766754
FLII	0.2153166	0.1668752	-0.00187428
DHX8	0.5398288	0.03529816	-0.3499314
POLR2A	-0.4497888	-0.6984853	-0.3742884
VPS25	-0.3059736	-0.1527676	-0.2914857
WBP2	-0.2678245	0.574777	0.667355
C17orf85	-0.1739624	-0.4111008	-0.02814487
DDX52	-0.7584518	0.2446167	-0.01225587
MRPS23	-0.2442408	-0.5030434	0.1291973
PTRH2	-0.3034036	0.2337526	0.4576528
ZNF830	0.2614706	NaN	NaN
DYNLL2	0.1367164	0.1688686	0.0542875
SCRN2	0.03049285	NaN	NaN
PHF23	-0.1145974	NaN	NaN
ASPSCR1	-0.3854254	-0.01335502	-0.02034074
MSI2	-0.6652487	0.722896	0.8628901
FN3KRP	-0.5211007	NaN	-0.2505978
TVP23B	0.1297314	0.2903917	0.1109782
TVP23C	0.1297314	0.2903917	0.1109782
SNF8	-0.2411741	0.01176248	NaN
EXOC7	0.2713062	0.2448218	0.00984382
OVCA2	0.2828548	-0.1929516	0.3176141
PSMD11	0.1849616	-0.1083571	-0.05547326
LUC7L3	-0.07135663	-0.4992719	-0.3014705
COG1	0.1526378	0.4522373	0.04334859
PLCD3	0.7525531	1.334898	0.5253512
GPS1	-0.1540744	-0.03054795	0.02963233
VAT1	1.241958	1.245985	1.204499
ANKFY1	0.1863738	0.05904387	0.05508165
RPTOR	-0.6629169	0.2728007	0.1006542
MINK1	-0.0012968	0.1372352	NaN
SRP68	-0.2328029	-0.4019581	-0.2370741
MRPL10	-0.4321752	-0.00668939	0.2320063
SENP3	-0.5255308	-0.2492632	-0.3197336
NUP85	-0.1820166	-0.3904476	-0.4144603
AURKB	0.08447251	NaN	0.297431
PTRF	0.4197546	0.1571096	-0.2335199
KIF1C	0.2166942	NaN	NaN
BAIAP2	-0.2097451	-0.06763871	-0.8846371
ARRB2	-0.6930848	NaN	NaN
KAT7	-0.03694711	-0.606321	0.1135535
GRN	0.2667565	1.661593	1.550761
COASY	-0.3076797	0.434013	0.04110474
PSMD12	0.1614546	-0.0802483	-0.04907315
MRPL45	-0.2291794	-0.1439158	0.3014615
RPL38	-0.167651	-0.5138949	-0.160533
SRSF1	-0.01211167	-0.4826418	-0.417812
ITGA3	0.6805044	0.4762775	0.05455712
PITPNA	0.2735755	0.192876	0.2773591
PIP4K2B	0.5318679	0.08925197	-0.04739888
PFN1	0.2903186	0.01846882	-0.187261
RHOT1	0.0541353	0.3170724	0.3625599
FTSJ3	-0.6133685	-0.4639363	0.1924472
ENO3	-0.6906719	NaN	NaN
PAFAH1B1	-0.04847896	0.3269321	0.1654668
TOP2A	0.4314965	-0.8630663	-0.1296127
MAP2K3	-1.019551	-0.06915224	-0.08256637
RPL27	-0.2394809	-0.2973675	-0.08882007
BLMH	-0.3037464	-0.552377	-0.6215244
SLC25A11	-0.1439625	-0.07901972	0.2260543
UBE2G1	-0.3881289	0.06939125	0.003958421
ATP5H	0.1461862	0.08416559	0.240452
CNP	0.6426554	-0.539134	-1.422556
FAM134C	0.4415593	0.4267806	0.9817361
BPTF	-0.6284301	-0.2632748	-0.07560111
GNA13	-0.1147752	0.3871096	-0.1964812
SPECC1	1.634268	0.0114716	-0.6161695
DCAKD	-0.4458729	-0.1740924	-0.6518669
PRPSAP1	-0.2671491	-0.3149865	-0.473631
TSR1	-0.5568205	-0.800993	0.00916126
RABEP1	-0.02214935	0.3197836	0.4609057
GAA	0.04314054	1.226915	0.2784436
SDF2	0.5357546	0.09634471	-0.1578198
CDC27	0.09313096	-0.5081243	-0.2777466
TUBG2	-0.01934576	-0.3466449	-0.1844707
TUBG1	-0.01934576	-0.3466449	-0.1844707
CRLF3	-0.5593666	-0.283151	-0.2626737
MPRIP	1.67016	0.3564024	-0.1075539
ACOX1	0.07231157	0.131408	-0.2045164
ATPAF2	-0.5491345	-0.09599186	0.3612496
SYNRG	-0.8606223	-0.1251221	-0.08311117
AZI1	0.02504292	-0.3846025	-0.5962673
TK1	0.2524157	-0.7554004	NaN
EPN3	0.1005476	-0.6721085	-0.6221806
AATF	-0.4348168	-0.1849785	0.1738204
DHX33	-0.8571994	-0.4588121	-0.3074284
FKBP10	0.1180938	0.02117468	0.1646257
NOL11	-0.874296	-0.3419858	0.1697934
ACSF2	1.199836	1.156659	0.9244536
DERL2	-0.06380115	0.2865857	0.4824723
NXN	0.460651	-0.6735564	-1.739762
CHMP6	-0.7522141	-0.4584869	-0.5236623
WRAP53	-0.2380631	-0.5492256	NaN
SMG8	-0.05255339	-0.09423603	-0.2892443
ALYREF	-0.5708986	-0.6008406	-0.2083924
CCDC43	-0.4377992	NaN	-0.3428961
DNAJC7	0.2021166	-0.4445611	0.04978541
SMURF2	-0.3793573	0.3787382	0.1657256
NMT1	-0.06720269	-0.0464211	0.0359933
ALDH3A2	0.3247784	0.1375844	0.6320252
SAP30BP	-0.5859728	-0.376523	-0.08229377
CHD3	-0.0868575	-0.5512944	-0.362554
INPP5K	0.3776236	-0.1106115	-0.3176514
JMJD6	-1.159525	-0.3928669	-0.1807844
CENPV	-0.6653631	-1.018848	NaN
PYCR1	-0.6808716	-0.1583371	-0.2491419
HN1	-0.8171044	NaN	NaN
GIT1	-0.4096807	-0.1012467	-0.03435652
PRKCA	0.09306313	0.07707142	0.007304156
ZZEF1	0.02077927	-1.252727	-0.8024827
LRRC59	-0.09631386	-0.246712	-0.1208827
EPN2	0.3610694	0.396058	NaN
MYH10	0.3292333	-0.4042492	-0.5588553
MXRA7	-1.041708	0.211782	0.03402733
DDX42	-0.7469137	-0.2409859	0.02941126
DHX40	-0.4230813	-0.3887956	NaN
LSM12	-0.4158336	-0.2071432	0.0577971
EIF5A	-0.4491155	-0.07244879	0.1359505
ALKBH5	0.7257929	-0.5990321	NaN
CDK5RAP3	-0.53366	-0.2424501	-0.1365852
FAM83G	-0.3964799	-0.4562804	-0.2858164
SLFN5	-0.7189418	0.09423316	0.4934794
RPL26	-0.3185957	0.1654668	0.1252266
SLC38A10	-1.091177	0.005101777	NaN
HEATR6	-0.7015918	-0.2492847	0.05045766
PIGS	0.2789363	-0.06184534	-0.4772628
MXRA7	-1.041708	0.2752798	0.4996874
DHRS7B	0.3984403	0.2456769	NaN
VAMP2	0.7333488	NaN	NaN
JUP	-0.6637481	-0.2859348	-0.05602858
GPS1	-0.1540744	NaN	NaN
NME2	-0.4895848	0.02096977	0.2008961
NME1-NME2	-0.4895848	0.02096977	0.2008961
LEPREL4	-0.2217398	-0.04096258	-0.5121764
TXNDC17	0.3279173	0.100778	0.1186799
CALCOCO2	-0.04707013	3.058653	0.5576881
ATP6V0A1	0.1733833	0.7178568	0.3332979
SPAG9	0.2616555	-0.04040144	0.023607
SPAG9	0.2616555	-1.020769	-0.6433021
BECN1	0.09260522	0.2366055	0.1798904
PTGES3L-AARSD1	-0.8800561	0.2854423	0.1510576
MYO18A	0.3710504	0.198775	-1.014784
UBE2O	-0.9436939	-0.1853592	-0.284751
MRPL38	-0.119918	-0.3034592	0.1398875
AP2B1	0.300905	0.09512672	-0.006621283
SUPT6H	-0.3358244	-0.439038	-0.169412
NSRP1	-0.1733429	0.3242201	-0.1604039
LLGL1	0.9101186	-0.005328132	-0.2609891
ERAL1	-0.7097552	0.3210632	0.01003021
FLOT2	0.0736847	0.3489597	0.2724367
MPDU1	0.2674758	0.08165962	-0.265557
MED1	-0.1877565	NaN	0.002425838
MYO1C	0.5675682	0.01846882	-0.5787938
CLUH	-0.5618349	-0.2717842	0.151378
AFG3L2	-0.3783636	-0.2972502	0.2974665
ACAA2	-1.574099	0.5256833	-0.4778845
MAPRE2	0.4567011	0.4324156	0.2891218
NPC1	-0.3766227	0.7576475	1.039044
NDC80	-0.01411945	-0.9661351	-0.3169567
IER3IP1	0.6461271	-0.003026455	0.3796576
TRAPPC8	0.1969846	0.2474911	-0.05060615
MALT1	0.4187258	-0.1035311	-0.223299
RAB27B	1.516382	2.48657	3.08253
ME2	-0.3264773	0.06470626	0.1494087
SMAD4	-0.3550363	-0.678987	-1.703411
YES1	-0.2151013	-0.05797006	-0.1769609
ELP2	-0.1731729	-0.1764504	-0.0870554
SMAD2	0.3377803	-0.3124327	-0.1071522
IMPACT	-0.4481908	-0.07217448	-0.06322684
ROCK1	0.2021356	0.08742674	0.2105629
KIAA1468	-0.3230647	0.1412074	0.0609088
GALNT1	0.2859348	-0.25181	-0.5170237
LMAN1	3.943828	-0.1200864	-0.03759306
FECH	0.1868739	0.2107299	0.03100248
DSG2	-0.2508093	-0.1096949	-0.3948433
KDSR	-0.1081298	0.2312779	0.6506121
SERPINB8	0.5932103	0.4235649	0.5085471
MYL12A	0.2882995	-0.2541103	-0.5388361
MYL12B	0.2882995	-0.2541103	-0.5388361
TMX3	-0.0328757	-0.1667153	-0.04990951
RPRD1A	-0.3922189	-0.102994	0.2187326
C18orf8	0.1821619	1.209489	-0.1043367
C18orf25	-0.323209	-0.2901855	0.07175481
NEDD4L	-0.2488681	0.03819897	0.2426865
VAPA	-0.2026595	-0.1075539	0.005883723
CNDP2	-0.1839818	0.3373751	0.4389721
VPS4B	0.2257685	-0.05852427	-0.1843438
CYB5A	-1.059495	0.2731338	0.6350915
SEH1L	-0.1811799	-0.2697514	-0.07505342
EPB41L3	-0.0950726	0.6901952	-0.25181
TXNL4A	-0.4716327	-0.4707191	-0.1508196
PTPN2	-0.5595639	-0.6216182	-0.4244375
SEC11C	-0.5031371	0.6125281	1.150946
TYMS	-0.3168932	-1.129679	-0.06212174
EPG5	-0.06783006	0.1304444	-0.2856981
WDR7	0.01891905	0.02353373	-0.3042529
FAM210A	0.2267051	-1.023539	0.2178767
NDUFV2	0.1046501	-1.781486	0.1823113
CXXC1	0.01678625	-0.6063474	-0.2253984
NAPG	0.5417639	0.03243305	0.03094357
PIK3C3	0.001601866	0.09930896	-0.006764692
SNRPD1	-0.2854775	-0.5699772	-0.0371714
THOC1	0.05921687	-0.5749249	-0.2813124
TXNL1	0.4121854	-0.05060615	0.3190636
TIMM21	0.04253643	-0.1431322	0.2286553
NARS	-0.1586548	0.2100622	0.245369
RNMT	-0.2914929	-0.049352	-0.09342497
PPP4R1	-0.08540393	-0.1248575	-0.3326221
RPL17-C18orf32	-0.2604284	-0.2958405	-0.08460856
RAB12	-0.312645	-0.1521185	-0.1727436
MBD2	-0.0275086	-0.1634987	-0.2528819
SMCHD1	0.4234168	-0.5072111	-0.3035762
USP14	0.1513393	-0.05990896	0.06457043
HDHD2	0.1317497	0.4677728	0.324455
PSMG2	-0.1206726	-0.1361914	-0.3257318
TUBB6	0.3062302	0.2329724	-0.04152331
SOGA2	-0.2133943	-0.2807188	-0.6657566
TUBB6	0.3062302	0.2361974	-0.07491647
LDLR	-0.11639	-0.2020102	-0.2391536
TIMM13	-0.8193175	0.3073586	0.2717921
BCAM	0.04475567	0.08797862	-0.03449743
HOOK2	5.16E-05	1.194988	NaN
EPN1	0.3780601	-0.04600209	-0.04292445
XRCC1	0.02941749	-0.4229865	-0.09274879
PKN1	-0.4018826	-0.539134	-0.6352436
POLD1	-0.08960503	-0.9742844	-0.4142438
TBC1D17	0.843945	NaN	NaN
ISOC2	0.6373658	0.3105935	0.6322265
DDX49	-1.462295	-0.3742884	0.1672802
ETHE1	0.8451959	0.5032615	-0.119157
MAP2K2	0.4852206	0.2619672	0.3084301
CLPP	-1.074785	0.07315046	0.2264256
